municipio;_gama_camara;_mamografo_com_comando_simples;_mamografo_com_estereotaxia;_raio_x_ate_100_ma;_raio_x_de_100_a_500_ma;_raio_x_mais_de_500ma;_raio_x_dentario;_raio_x_com_fluoroscopia;_raio_x_para_densitometria_ossea;_raio_x_para_hemodinamica;_tomógrafo_computadorizado;_ressonancia_magnetica;_ultrassom_doppler_colorido;_ultrassom_ecografo;_ultrassom_convencional;_processadora_de_filme_exclusiva_para_mamografia;_mamografo_computadorizado;_pet_ct;_endoscopio_das_vias_respiratorias;_endoscopio_das_vias_urinarias;_endoscopio_digestivo;_equipamentos_para_optometria;_laparoscopio_video;_microscopio_cirurgico;_cadeira_oftalmologica;_coluna_oftalmologica;_refrator;_lensometro;_projetor_ou_tabela_de_optotipos;_retinoscopio;_oftalmoscopio;_ceratometro;_tonometro_de_aplanacao;_biomicroscopio_lampada_de_fenda;_campimetro;_eletrocardiografo;_eletroencefalografo;_bomba_balao_intra_aortico;_bomba_de_infusao;_berço_aquecido;_bilirrubinometro;_debitometro;_desfibrilador;_equipamento_de_fototerapia;_incubadora;_marcapasso_temporario;_monitor_de_ecg;_monitor_de_pressao_invasivo;_monitor_de_pressao_nao_invasivo;_reanimador_pulmonar_ambu;_respirador_ventilador;_aparelho_de_diatermia_por_ultrassom_ondas_curtas;_aparelho_de_eletroestimulacao;_bomba_de_infusao_de_hemoderivados;_equipamentos_de_aferese;_equipamento_de_circulacao_extracorporea;_equipamento_para_hemodialise;_forno_de_bier;total
"110001 Alta Floresta D'Oeste";-;-;-;-;1;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;2;-;1;-;-;7;-;1;3;-;-;-;-;-;24
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4;1;-;-;1;-;-;1;-;-;11
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;-;-;-;-;3;1;1;1;-;-;-;-;-;11
"110034 Alvorada D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;6
"110002 Ariquemes";-;4;1;3;6;3;7;-;2;-;3;2;13;11;9;4;1;-;-;1;6;5;3;3;2;2;2;2;2;2;3;1;2;2;1;31;5;-;98;5;1;-;18;7;12;2;43;5;50;70;51;10;11;1;1;-;38;1;568
"110045 Buritis";-;-;1;-;-;2;6;-;1;-;1;-;4;3;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;-;-;4;3;-;-;5;2;4;-;6;-;2;18;6;1;3;1;-;-;-;1;87
"110003 Cabixi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;1;1;-;-;1;-;-;-;-;1;9
"110060 Cacaulândia";-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;9
"110004 Cacoal";-;1;-;11;3;6;48;1;2;1;8;5;20;5;12;1;2;-;3;2;11;4;6;4;-;-;-;-;-;-;-;-;-;-;1;19;10;-;210;6;-;-;33;4;2;1;61;41;46;155;51;11;17;-;2;1;39;5;871
"110070 Campo Novo de Rondônia";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;2;-;18;9;-;-;-;-;-;-;-;-;35
