uf;nome_uf;mesorregiao_geografica;nome_mesorregiao;microrregiao_geografica;nome_microrregiao;municipio;codigo_municipio_completo;nome_municipio
11;Rondônia;2;Leste Rondoniense;6;Cacoal;15;110001;Alta Floresta D'Oeste
11;Rondônia;2;Leste Rondoniense;6;Cacoal;379;110037;Alto Alegre dos Parecis
11;Rondônia;2;Leste Rondoniense;3;Ariquemes;403;110040;Alto Paraíso
11;Rondônia;2;Leste Rondoniense;5;Alvorada D'Oeste;346;110034;Alvorada D'Oeste
11;Rondônia;2;Leste Rondoniense;3;Ariquemes;23;110002;Ariquemes
11;Rondônia;1;Madeira-Guaporé;1;Porto Velho;452;110045;Buritis
11;Rondônia;2;Leste Rondoniense;8;Colorado do Oeste;31;110003;Cabixi
11;Rondônia;2;Leste Rondoniense;3;Ariquemes;601;110060;Cacaulândia
11;Rondônia;2;Leste Rondoniense;6;Cacoal;49;110004;Cacoal
11;Rondônia;1;Madeira-Guaporé;1;Porto Velho;700;110070;Campo Novo de Rondônia
11;Rondônia;1;Madeira-Guaporé;1;Porto Velho;809;110080;Candeias do Jamari
11;Rondônia;2;Leste Rondoniense;6;Cacoal;908;110090;Castanheiras
11;Rondônia;2;Leste Rondoniense;8;Colorado do Oeste;56;110005;Cerejeiras
11;Rondônia;2;Leste Rondoniense;7;Vilhena;924;110092;Chupinguaia
11;Rondônia;2;Leste Rondoniense;8;Colorado do Oeste;64;110006;Colorado do Oeste
11;Rondônia;2;Leste Rondoniense;8;Colorado do Oeste;72;110007;Corumbiara
11;Rondônia;1;Madeira-Guaporé;2;Guajará-Mirim;80;110008;Costa Marques
11;Rondônia;1;Madeira-Guaporé;1;Porto Velho;940;110094;Cujubim
11;Rondônia;2;Leste Rondoniense;6;Cacoal;98;110009;Espigão D'Oeste
11;Rondônia;2;Leste Rondoniense;4;Ji-Paraná;1005;110100;Governador Jorge Teixeira
11;Rondônia;1;Madeira-Guaporé;2;Guajará-Mirim;106;110010;Guajará-Mirim
11;Rondônia;1;Madeira-Guaporé;1;Porto Velho;1104;110110;Itapuã do Oeste
11;Rondônia;2;Leste Rondoniense;4;Ji-Paraná;114;110011;Jaru
11;Rondônia;2;Leste Rondoniense;4;Ji-Paraná;122;110012;Ji-Paraná
11;Rondônia;2;Leste Rondoniense;3;Ariquemes;130;110013;Machadinho D'Oeste
11;Rondônia;2;Leste Rondoniense;6;Cacoal;1203;110120;Ministro Andreazza
11;Rondônia;2;Leste Rondoniense;4;Ji-Paraná;1302;110130;Mirante da Serra
